id;latitud;provincia;altitud;indicativo;nombre;indsinop;longitud
567;370756N;MALAGA;420;6375X;FUENTE DE PIEDRA;;044431W
568;414536N;BARCELONA;936;0260X;FOGARS DE MONTCL?S;;022552E
569;413827N;VALLADOLID;734;2422;VALLADOLID;8141;044515W
570;373616N;MURCIA;56;7012D;CARTAGENA;8434;010124W
571;430056N;GIPUZKOA;255;1025A;SEGURA;;021524W
572;403933N;AVILA;1130;2444;?VILA;8210;044047W
573;430448N;GIPUZKOA;420;1037Y;ZUMARRAGA;8037;021903W
574;381403N;MURCIA;350;7121A;CALASPARRA;;014208W
575;411412N;ZAMORA;811;2555B;FUENTESAUCO;;052853W
576;432932N;ASTURIAS;30;1203D;COLUNGA;;051450W
577;415536N;OURENSE;380;2978X;VER?N;;072519W
578;381140N;MURCIA;174;7250C;ABANILLA;;010202W
579;433335N;ASTURIAS;5;1208H;GIJ?N, PUERTO;8014;054203W
580;393750N;TOLEDO;750;3305Y;NAVAHERMOSA;;042837W
581;380517N;ALICANTE;31;7261X;ROJALES;8367;004255W
582;415945N;SORIA;1260;2017Y;LA P?VEDA DE SORIA, BARRIOMART?N;;022939W
583;394726N;CACERES;373;3475X;CA?AVERAL;;062235W
584;385235N;ILLES BALEARS;6;B954;IBIZA, AEROPUERTO;8373;012304E
585;385615N;ALBACETE;880;8177A;CHINCHILLA;8278;013932W
586;414630N;SORIA;1081;2030;SORIA;8148;022859W
587;395025N;CUENCA;870;4075Y;VILLARES DEL SAZ;;023012W
588;401241N;CASTELLON;35;8503Y;TORREBLANCA;;001101E
589;284521N;STA. CRUZ DE TENERIFE;2223;C101A;ROQUE DE LOS MUCHACHOS;;175343W
590;413957N;BURGOS;790;2117D;ARANDA DE DUERO;8144;034434W
591;385921N;CIUDAD REAL;626;4121;CIUDAD REAL;8348;035513W
592;281819N;STA. CRUZ DE TENERIFE;990;C415A;CITFAGRO_64_HOYOS;;164820W
593;424947N;ARABA/ALAVA;660;9073X;AGURAIN/SALVATIERRA, OPAKUA;;022135W
594;414243N;VALLADOLID;846;2539;VALLADOLID AEROPUERTO;8140;045120W
595;383105N;CIUDAD REAL;804;4148;VISO DEL MARQU?S;8345;033400W
596;282839N;SANTA CRUZ DE TENERIFE;632;C447A;TENERIFE NORTE AEROPUERTO;60015;161946W
597;423444N;HUESCA;823;9201K;JACA;8091;003249W
598;422239N;LEON;1020;2737E;LAGUNAS DE SOMOZA;8123;061148W
599;414848N;BARCELONA;742;0120X;MOI?;;020543E
600;383306N;BADAJOZ;430;4395X;VILLAFRANCA DE LOS BARROS;;061824W
601;424303N;NAVARRA;612;9238X;NAVASCU?S/NABASKOZE;;010702W
602;401748N;SALAMANCA;880;2930Y;NAVASFR?AS;;064846W
603;421322N;GIRONA;731;321;CAMPDEVANOL;;021002E
604;382905N;BADAJOZ;170;4489X;ALCONCHEL;;071655W
605;405154N;TERUEL;932;9381;CALAMOCHA, AER?DROMO;;011818W
606;402906N;SALAMANCA;805;2945A;EL BOD?N BASE A?REA;;063437W
607;373552N;HUELVA;276;4589X;ALOSNO, THARSIS;;070710W
608;422759N;LLEIDA;1273;9689X;TORRE DE CABDELLA;;005927E
609;394915N;CACERES;406;3448X;SERRADILLA;;060739W
610;374038N;HUELVA;415;4608X;EL CAMPILLO;;063748W
611;424201N;LLEIDA;1161;9990X;NAUT ARAN, ARTIES;8107;005237E
612;393118N;ILLES BALEARS;120;B346X;PORRERES;8310;030109E
613;392751N;CACERES;523;3463Y;TRUJILLO;8263;055227W
614;374651N;JAEN;910;5165X;TORRES;;033349W
615;400013N;CACERES;313;3526X;CORIA;8251;063327W
616;381112N;CORDOBA;720;5346X;CARDE?A;;041621W
617;401226N;CACERES;450;3547X;VALVERDE DEL FRESNO;;065346W
618;381742N;ALBACETE;960;7072Y;YESTE;;021738W
619;363950N;CADIZ;105;5950X;SAN JOS? DEL VALLE;;054660W
620;392539N;CACERES;321;3562X;ALISEDA;;064411W
621;363107N;MALAGA;594;6050X;GAUC?N;;051907W
622;425231N;ARABA/ALAVA;910;9060X;LALASTRA;;031354W
623;391036N;BADAJOZ;392;4468X;PUEBLA DE OBANDO;;063603W
624;373809N;MURCIA;3;7019X;CARTAGENA/SALINAS CABO PALOS;;004256W
625;423413N;NAVARRA;470;9171K;LOS ARCOS;;021102W
626;380453N;BADAJOZ;771;4499X;MONESTERIO;;061619W
627;393325N;ILLES BALEARS;100;B614E;MANACOR;;031304E
628;374420N;MURCIA;50;7026X;TORRE-PACHECO;;005803W
629;421349N;LLEIDA;1196;9632X;TUIXENT;;013410E
630;373313N;HUELVA;60;4541X;EL GRANADO;;073112W
631;395237N;ILLES BALEARS;45;B760X;POLLEN?A;;030127E
632;383437N;ALICANTE;486;8008Y;VILLENA;;005156W
633;415224N;LLEIDA;520;9724X;OS DE BALAGUER;;004522E
634;380123N;JAEN;202;5298X;AND?JAR;8347;040348W
635;390006N;VALENCIA;88;8293X;X?TIVA;8290;003123W
636;412336N;LLEIDA;488;9776D;ELS TORMS;;004403E
637;374712N;SEVILLA;200;5654X;LA PUEBLA DE LOS INFANTES;;052216W
638;395234N;ILLES BALEARS;78;B800X;LA MOLA, MA?;;041926E
639;402600N;CASTELLON;1130;8489X;VILLAFRANCA DEL CID/VILAFRANCA;8241;001520W
640;380558N;SEVILLA;720;5726X;GUADALCANAL;;054909W
641;405517N;TERUEL;1006;9998X;BELLO;;012940W
642;425255N;ARABA/ALAVA;513;9091O;FORONDA-TXOKIZA;8080;024406W
643;285707N;LAS PALMAS;14;C029O;LANZAROTE AEROPUERTO;60040;133601W
644;372142N;SEVILLA;84;5788X;TOMARES, ZAUD?N;;060335W
645;365919N;HUELVA;5;5858X;ALMONTE;;062635W
646;421518N;LA RIOJA;1630;9115X;VALDEZCARAY;;025805W
647;283645N;LAS PALMAS;217;C258K;LA OLIVA;;135554W
648;364502N;CADIZ;27;5960;JEREZ DE LA FRONTERA AEROPUERTO;8451;060321W
649;422858N;LA RIOJA;429;9145Y;CENICERO;;023822W
650;280249N;SANTA CRUZ DE TENERIFE;64;C429I;TENERIFE SUR AEROPUERTO;60025;163340W
651;363958N;MALAGA;7;6155A;M?LAGA AEROPUERTO;8482;042856W
652;413429N;SORIA;1000;9352A;ALMAZUL;;020825W
653;283336N;STA. CRUZ DE TENERIFE;305;C449Q;CITFAGRO_97_TAGANANA;;161341W
654;393749N;ILLES BALEARS;25;B496X;SON SERVERA;;032301E
655;411952N;ZARAGOZA;582;9394X;CALATAYUD;8156;013843W
